code,floor,tradingDate,time,tradingDate_Time,open,high,low,last,adLast,accumulatedVal,accumulatedVol,lastVol
TCB,HOSE,23/05/2025,14:28:49,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.10542E+11,16891700,12400
TCB,HOSE,23/05/2025,14:28:49,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.10566E+11,16892500,800
TCB,HOSE,23/05/2025,14:28:45,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.10168E+11,16879300,300
TCB,HOSE,23/05/2025,14:28:42,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.0677E+11,16766800,25100
TCB,HOSE,23/05/2025,14:28:42,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.0828E+11,16816800,50000
TCB,HOSE,23/05/2025,14:28:42,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.08286E+11,16817000,200
TCB,HOSE,23/05/2025,14:28:42,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.08316E+11,16818000,1000
TCB,HOSE,23/05/2025,14:28:42,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.08319E+11,16818100,100
TCB,HOSE,23/05/2025,14:28:42,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.08322E+11,16818200,100
TCB,HOSE,23/05/2025,14:28:42,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.08926E+11,16838200,20000
TCB,HOSE,23/05/2025,14:28:42,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.08929E+11,16838300,100
TCB,HOSE,23/05/2025,14:28:42,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.10137E+11,16878300,40000
TCB,HOSE,23/05/2025,14:28:42,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.10152E+11,16878800,500
TCB,HOSE,23/05/2025,14:28:42,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.10159E+11,16879000,200
TCB,HOSE,23/05/2025,14:28:36,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.06012E+11,16741700,1000
TCB,HOSE,23/05/2025,14:28:35,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.05982E+11,16740700,2000
TCB,HOSE,23/05/2025,14:28:29,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.05921E+11,16738700,3000
TCB,HOSE,23/05/2025,14:28:25,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.05831E+11,16735700,500
TCB,HOSE,23/05/2025,14:28:19,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.05562E+11,16726800,500
TCB,HOSE,23/05/2025,14:28:19,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.05786E+11,16734200,7400
TCB,HOSE,23/05/2025,14:28:19,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.05816E+11,16735200,1000
TCB,HOSE,23/05/2025,14:28:16,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.05399E+11,16721400,200
TCB,HOSE,23/05/2025,14:28:16,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.05547E+11,16726300,4900
TCB,HOSE,23/05/2025,14:28:13,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.05393E+11,16721200,600
TCB,HOSE,23/05/2025,14:28:12,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.05179E+11,16714100,4700
TCB,HOSE,23/05/2025,14:28:12,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.05182E+11,16714200,100
TCB,HOSE,23/05/2025,14:28:12,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.05375E+11,16720600,6400
TCB,HOSE,23/05/2025,14:28:12,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.05037E+11,16709400,10300
TCB,HOSE,23/05/2025,14:28:06,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.04695E+11,16698100,1000
TCB,HOSE,23/05/2025,14:28:06,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.04726E+11,16699100,1000
TCB,HOSE,23/05/2025,14:28:02,23/05/2025 14:28,30.55,30.6,29.8,30.2,30.2,5.04665E+11,16697100,2000
TCB,HOSE,23/05/2025,14:27:49,23/05/2025 14:27,30.55,30.6,29.8,30.2,30.2,5.04605E+11,16695100,5000
TCB,HOSE,23/05/2025,14:27:46,23/05/2025 14:27,30.55,30.6,29.8,30.2,30.2,5.02793E+11,16635100,19400
TCB,HOSE,23/05/2025,14:27:46,23/05/2025 14:27,30.55,30.6,29.8,30.2,30.2,5.02799E+11,16635300,200
TCB,HOSE,23/05/2025,14:27:46,23/05/2025 14:27,30.55,30.6,29.8,30.2,30.2,5.02802E+11,16635400,100
TCB,HOSE,23/05/2025,14:27:46,23/05/2025 14:27,30.55,30.6,29.8,30.2,30.2,5.02811E+11,16635700,300
TCB,HOSE,23/05/2025,14:27:46,23/05/2025 14:27,30.55,30.6,29.8,30.2,30.2,5.02814E+11,16635800,100
TCB,HOSE,23/05/2025,14:27:46,23/05/2025 14:27,30.55,30.6,29.8,30.2,30.2,5.04354E+11,16686800,50000
TCB,HOSE,23/05/2025,14:27:46,23/05/2025 14:27,30.55,30.6,29.8,30.2,30.2,5.02844E+11,16636800,1000
TCB,HOSE,23/05/2025,14:27:46,23/05/2025 14:27,30.55,30.6,29.8,30.2,30.2,5.04363E+11,16687100,300
TCB,HOSE,23/05/2025,14:27:46,23/05/2025 14:27,30.55,30.6,29.8,30.2,30.2,5.04424E+11,16689100,2000
TCB,HOSE,23/05/2025,14:27:46,23/05/2025 14:27,30.55,30.6,29.8,30.2,30.2,5.04454E+11,16690100,1000
TCB,HOSE,23/05/2025,14:27:36,23/05/2025 14:27,30.55,30.6,29.8,30.25,30.25,5.02207E+11,16615700,1000
TCB,HOSE,23/05/2025,14:27:27,23/05/2025 14:27,30.55,30.6,29.8,30.2,30.2,5.02158E+11,16614100,400
TCB,HOSE,23/05/2025,14:27:27,23/05/2025 14:27,30.55,30.6,29.8,30.2,30.2,5.02177E+11,16614700,600
TCB,HOSE,23/05/2025,14:27:25,23/05/2025 14:27,30.55,30.6,29.8,30.2,30.2,5.02143E+11,16613600,3000
TCB,HOSE,23/05/2025,14:27:25,23/05/2025 14:27,30.55,30.6,29.8,30.2,30.2,5.02146E+11,16613700,100
TCB,HOSE,23/05/2025,14:27:25,23/05/2025 14:27,30.55,30.6,29.8,30.2,30.2,5.02053E+11,16610600,6500
TCB,HOSE,23/05/2025,14:27:22,23/05/2025 14:27,30.55,30.6,29.8,30.25,30.25,5.01856E+11,16604100,10000
TCB,HOSE,23/05/2025,14:27:21,23/05/2025 14:27,30.55,30.6,29.8,30.25,30.25,5.01554E+11,16594100,10000
TCB,HOSE,23/05/2025,14:27:20,23/05/2025 14:27,30.55,30.6,29.8,30.25,30.25,5.01251E+11,16584100,1200
TCB,HOSE,23/05/2025,14:27:19,23/05/2025 14:27,30.55,30.6,29.8,30.25,30.25,5.01215E+11,16582900,4900
TCB,HOSE,23/05/2025,14:27:13,23/05/2025 14:27,30.55,30.6,29.8,30.25,30.25,5.01067E+11,16578000,10000
TCB,HOSE,23/05/2025,14:27:11,23/05/2025 14:27,30.55,30.6,29.8,30.2,30.2,5.00752E+11,16567600,1000
TCB,HOSE,23/05/2025,14:27:11,23/05/2025 14:27,30.55,30.6,29.8,30.2,30.2,5.00764E+11,16568000,400
TCB,HOSE,23/05/2025,14:27:03,23/05/2025 14:27,30.55,30.6,29.8,30.25,30.25,5.00722E+11,16566600,300
TCB,HOSE,23/05/2025,14:27:00,23/05/2025 14:27,30.55,30.6,29.8,30.2,30.2,5.00598E+11,16562500,200
TCB,HOSE,23/05/2025,14:27:00,23/05/2025 14:27,30.55,30.6,29.8,30.2,30.2,5.00713E+11,16566300,3800
TCB,HOSE,23/05/2025,14:26:56,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,5.00589E+11,16562200,200
TCB,HOSE,23/05/2025,14:26:56,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,5.00592E+11,16562300,100
TCB,HOSE,23/05/2025,14:26:55,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,5.00432E+11,16557000,2100
TCB,HOSE,23/05/2025,14:26:55,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,5.00484E+11,16558700,1700
TCB,HOSE,23/05/2025,14:26:55,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,5.00514E+11,16559700,1000
TCB,HOSE,23/05/2025,14:26:55,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,5.00529E+11,16560200,500
TCB,HOSE,23/05/2025,14:26:55,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,5.00559E+11,16561200,1000
TCB,HOSE,23/05/2025,14:26:55,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,5.00583E+11,16562000,800
TCB,HOSE,23/05/2025,14:26:53,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,5.00369E+11,16554900,400
TCB,HOSE,23/05/2025,14:26:51,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,5.00357E+11,16554500,1000
TCB,HOSE,23/05/2025,14:26:46,23/05/2025 14:26,30.55,30.6,29.8,30.25,30.25,5.00327E+11,16553500,200
TCB,HOSE,23/05/2025,14:26:44,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.98829E+11,16503900,300
TCB,HOSE,23/05/2025,14:26:44,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.98922E+11,16507000,100
TCB,HOSE,23/05/2025,14:26:44,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.99079E+11,16512200,5000
TCB,HOSE,23/05/2025,14:26:44,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.99106E+11,16513100,700
TCB,HOSE,23/05/2025,14:26:44,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.99131E+11,16513900,800
TCB,HOSE,23/05/2025,14:26:44,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.99273E+11,16518600,1000
TCB,HOSE,23/05/2025,14:26:44,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.99877E+11,16538600,20000
TCB,HOSE,23/05/2025,14:26:44,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,5.00209E+11,16549600,500
TCB,HOSE,23/05/2025,14:26:44,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,5.00275E+11,16551800,2000
TCB,HOSE,23/05/2025,14:26:44,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,5.0032E+11,16553300,1500
TCB,HOSE,23/05/2025,14:26:44,23/05/2025 14:26,30.55,30.6,29.8,30.2,30.2,4.9882E+11,16503600,300
